epoch,loss,val_loss
0,5672.408694127563,4822.067330867686
1,4439.923893047746,4770.788052173371
2,4368.203697447564,3919.1587797124334
3,4194.97348003023,4131.988870823637
4,4162.383070635948,3788.9764040683176
5,4017.8755761407742,4000.6999122132647
6,3971.786105210614,3898.93186658494
7,4072.176016837928,3781.7892443068486
8,3941.405671915431,3723.149027073637
9,4027.410094826085,3335.383090404754
